Entity,Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Number),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Number),Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Number)
Afghanistan,195180.59849729997,484026.0582166999,696038.8788197001,142717.25986396,174603.90014914
Albania,151947.89223704,295635.65367859,267764.35304863995,40744.65012222,39645.91564725001
Algeria,555120.11436277,1098311.9343854,1462520.2058247002,159553.09403601996,104641.80291333
American Samoa,1432.5767303986,3882.7368668785,3826.490590611,156.75971823702,217.37610571403994
Andean Latin America,1629683.1882659998,2366603.6434678,1843714.5783335,119846.61055587001,248737.11382794005
Andorra,16309.862558679002,22137.447411359,14570.125822028,722.0154176492999,820.191047039
Angola,99735.62999418999,361925.68837081,507418.9233065,26201.698632715,159715.94216125997
Antigua and Barbuda,6685.368734308,9131.697014696998,4860.646171327999,149.31600257165996,261.03549181843
Argentina,3213816.4157600002,4802833.443904,3261808.3828664003,147721.86652045,155984.56056566
Armenia,163412.69554575003,379129.2528218,239043.97061283997,16612.810255940003,16334.385816325997
Australasia,8301070.710465999,9949973.783333998,4371782.855745,264804.11190514994,269176.533912
Australia,6992046.234825,8291070.736392999,3591604.8022600003,202757.50426682003,209272.59977165004
Austria,2255423.7775286,2921015.3785794,1323845.9753088998,67827.9016517,58471.290194509995
Azerbaijan,162963.15883239,534879.2155047001,510515.5505635999,70332.57369744,61289.272444849994
Bahamas,19022.522918781004,41132.66003125701,33723.230562904995,621.0770938261,872.1191219034001
Bahrain,11752.672928613001,37348.881209423,44708.199698562,3091.1123121563,2151.4243837599
Bangladesh,908547.9157148999,2333223.8571226,2036128.7998948002,21832.790814596,340614.00309459004
Barbados,45661.01531651,52646.43332211,27768.061635687,483.63899877500006,632.8971550507999
Belarus,945671.5810309002,2084802.6252265,1143136.6678755998,84002.66352752002,83828.41371849
Belgium,3025251.6105942004,3642089.5311809997,1488640.2417735,68238.43536173001,75261.50786118
Belize,6034.24081729,10617.621588706997,11438.393977758,666.2665361227998,1117.4632819011001
Benin,70899.39249176998,136178.41316558,151923.58301056997,11358.943795464,52646.73187081
Bermuda,11432.758867191,14177.412483638002,5528.503291531,201.75505196555002,311.2283626535199
Bhutan,6145.412175214,13096.768810425001,10510.614544506001,0.0,1693.2529376042999
Bolivia,247410.80713089,429980.57121545007,319953.7752669199,23037.175042829003,65037.29020576001
Bosnia and Herzegovina,299423.58950641996,667308.1660987,377674.97283259995,29810.372902389005,22205.628724774
Botswana,27599.771908243998,54108.157848489995,47499.37775734401,2159.8414974038,2692.6716615216
Brazil,7028634.4375100015,13230586.565927,9010421.81747,258230.94684636,642630.4919263001
Brunei,11673.035782819,40273.590604728015,77333.11230285998,12627.716171689,8500.995499577002
Bulgaria,1102350.432767,1994625.7286142,982187.7150684998,63983.94546843,58071.346272979994
Burkina Faso,139821.77968286,311658.64640905,375741.73381608,20915.307432544,115851.85753960999
Burundi,46416.0233687,165969.37849773,196444.86780078002,12105.129036736,66966.07386697999
Cambodia,141315.46908531,422727.6812298101,356856.84635827,13890.151708777998,42120.32996735999
Cameroon,167041.42848437003,403981.2857843101,417513.17154754,25077.819709555002,108296.24898556001
Canada,13161477.849826999,19386378.528866995,13777537.556075,781878.9831034002,331219.6827767
Cape Verde,11815.715661524002,12156.074473229999,12391.057569428,766.5462067639,2385.6170537725993
Caribbean,2792789.5804372006,3989917.1497851997,2343984.0243773,93604.57249555,200532.95876138998
Central African Republic,21026.163971622995,98617.32705903999,122215.81465252997,5222.826533701001,24372.958842494998
Central Asia,1606072.4191713003,4606322.079687001,4263249.223742,524863.5772208,544730.3343792
Central Europe,16013089.807651002,29829961.809361994,15968369.236211997,1144915.9009771,923743.0489898998
"Central Europe, Eastern Europe, and Central Asia",38142374.06412201,82972481.98923998,49175885.54903,4206682.588242999,3550689.9452248
Central Latin America,8108142.495071999,13605969.343322001,10623392.452044,815600.7923910999,1319947.1812553003
Central Sub-Saharan Africa,548176.8500317999,1748880.0922080998,2124138.1201874,117221.18394977998,553817.6302212
Chad,85387.2526036,160209.67810143,167835.07953666,14715.20203972,69765.75147968999
Chile,1160002.8144455,1682553.8553434003,1389699.7986923999,59474.93509901999,64637.77639435
China,53002970.84449901,119864313.62438,103996200.73691,13183082.194812998,18828971.346315
Colombia,1878485.1139564002,2991030.2849582,2036040.3841890995,153253.36369283003,252923.83971136002
Comoros,7291.017985720001,20057.968759381,21950.321820916997,1165.8448162799002,3882.8128323759993
Congo,34597.808739786,105841.06317091,139713.27179482998,4689.451280201999,21308.291497347003
Costa Rica,270238.67355664,378731.27903838,246837.99495815,13305.252154490998,19885.612305954
Cote d'Ivoire,134289.75835817,314055.84644412994,277480.4268823,24602.116419280002,61086.84161058001
Croatia,945438.7093784,1532630.8987339004,709449.1414272,55510.226166739994,46034.95441174
Cuba,1333784.2921643,1803713.2248151999,860720.2085147,23056.121123866003,39948.33397044
Cyprus,155183.10592602,221092.63455811,104708.14170876,5476.2320532352,3769.8324699092
Czechia,2190792.7304964997,3577224.4135822994,1662698.8759610998,117951.81141334,91764.95564922999
Democratic Republic of Congo,367844.9658405499,1120469.0403272,1295048.2845241,78323.16618585,339629.3673233999
Denmark,1583349.3547590997,2118372.8145372,818945.9083793001,44824.818993709996,41043.30980045
Djibouti,5678.3236271126,21850.810957671005,25490.549036876,1440.8739418004,6485.733518594
Dominica,8693.749650598002,8281.267246816002,4909.933577438,157.69790648011997,249.14334479035998
Dominican Republic,289025.75221346,424484.43257604,341870.17922418995,16950.486391203005,37870.96490596
East Asia,57293362.896169,129789425.13899,113308260.27193002,14037416.207029,19647323.545654
Eastern Europe,20523211.837298,48536198.10018,28944267.089086995,2536903.1100474,2082216.5618560002
Eastern Sub-Saharan Africa,2099201.9423241,5899436.591598,7030884.837331,532354.3700945,2589079.7706397
Ecuador,445715.6565851301,612200.61351289,503002.14226704004,31660.673324746,55813.96388535001
Egypt,615083.1345989,2531950.3709685,3067547.4269588003,366776.8084342,359355.9129329
El Salvador,198795.54431289,315564.87380513997,277880.22886320006,22848.418123021,27295.551818973006
England,18269945.116224002,18504033.932260994,9149132.698825,584183.6609318,476060.5050132
Equatorial Guinea,5573.479129697001,17144.689978267,21229.100392275,1155.1680812757,4243.164939699001
Eritrea,25279.949022877,137467.37267683,167554.04432541,10448.918932178001,46560.661829239994
Estonia,259390.42503733,403419.39236259996,179501.33531226005,17492.529690756997,15245.253839458997
Eswatini,10840.056214151002,34223.633309007004,31999.03198354,1680.4287278545999,2090.8997202914
Ethiopia,495317.6397328001,1458347.7126111998,1731474.6788987003,121904.04174903002,674797.0245166001
Fiji,13029.377557155998,45392.55516371001,52524.35465859,2178.2878239140996,2934.3697735678
Finland,1517368.1533801,1905099.6690785,696069.9640240001,54149.97425361,35240.42650253
France,15950457.237971,19171698.792604,8618610.952146,373215.58132793003,418441.3855592
Gabon,19398.802355981,44882.28330233999,38512.725516810984,1628.8732360345998,4547.905456628999
Gambia,10892.850917389,23714.205481480993,26076.304033076995,2062.5675493135,7072.801622879998
Georgia,238023.80800480995,571977.8231362002,343867.9202771,20784.171307056997,21679.157932968
Germany,27231286.661234006,31903175.866751004,11998034.997519,383094.0814253999,439023.0880887
Ghana,220017.67693068003,547579.5290363,627908.466907,34968.77081627,120695.5198651
Greece,2640088.6013282007,2842670.3107106,1368175.5467009002,61938.11403953,61848.13352845
Greenland,7123.687247961,20852.662093852,21617.950344123004,1337.3111058535003,371.7376813928
Grenada,7709.774250646,10403.780522018002,6274.692818686999,163.83391975642004,292.77834248194995
Guam,6372.1724511919,16212.046693645001,12680.599684440998,719.4497582545998,1216.7340251080998
Guatemala,228129.31066092,377761.45049431996,391693.2074483899,43947.38002048999,72660.34096751998
Guinea,119324.09269786,237319.52955834998,255984.7346337,12482.540532924997,63419.2009947
Guinea-Bissau,10140.161155229,29271.07783422699,36115.19483213701,2027.4577596921,9780.163523971003
Guyana,15807.087422614997,35633.18611323501,37051.579309370005,1652.9970512399,2259.0173574519
Haiti,160210.72318974,358371.49523369,382696.3162806,25965.935819685994,82102.54673621
High SDI,353465124.66591,457876654.8413,269079079.13156,18474216.878144998,11206274.215651
High-income,345643713.5095901,440150365.28669995,256591826.74302998,17241541.087533,9737712.401056003
High-income Asia Pacific,48842167.007116005,59796780.23414999,39031222.29964,5089926.411683001,3151274.7069909996
High-middle SDI,70864675.47356,152893371.68629998,112343350.73012,12181516.790163998,14904916.605411999
Honduras,113787.87852475002,217018.35867915,205394.99501937002,30053.86948359,52625.83959546999
Hungary,1835667.5671695,3231220.4385256004,1558190.1466784996,88556.60488359,77818.46748177998
Iceland,71277.37691500002,88906.94970027,47300.06366288,4905.5998440369995,4376.864014267
India,9464124.753624,25580871.405080006,20438891.117777,312458.42597680993,1714017.6397026
Indonesia,2626615.1796735995,7671064.467779001,8363217.868782,357025.8421945999,738453.7690895
Iran,1724308.9569465,3324329.0075688,3470747.6794864004,601828.0298696,542164.187897
Iraq,258097.23195891,762576.1984885,1053392.9697844,185472.48678360003,139358.71676163998
Ireland,821022.8582337,1118082.1141555,611883.6221597,36312.31751092,36303.447433812995
